uf;geometria;municipio;processo;classe;execucao;projeto;ano;executor;st_area_sh;st_length_
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,77E+00;0.00109974935901
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,77E+02;0.00109965211844
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,85E+04;0.00250949399213
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110021802599
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,02E+05;0.00440799480904
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;9,85E+04;0.00493349029406
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,42E+04;0.00304831648702
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00109998872096
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110013706412
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,16E+03;0.0142354092794
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,13E+04;0.004665784574
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;0.000329144323301;0.295630314809
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,38E+04;0.00394951928372
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+01;0.00116400490803
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,53E+04;0.00224733665058
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,69E+04;0.00178642235038
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,69E+02;0.00170615349748
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,44E+03;0.00116497349467
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,86E+04;0.00284282880797
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,42E+02;0.00116364189686
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,85E+04;0.00250338642579
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116448222545
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,85E+04;0.0020419679886
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,69E+04;0.00178726568705
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,17E+05;0.00670750834253
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,40E+01;0.0011136242824
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,77E+03;0.0010996435963
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110015465451
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,67E+05;0.00778556554536
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,86E+04;0.00289040295444
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;3,78E+05;0.0127859111256
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,70E+05;0.0138011678954
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;9,13E+04;0.00516352514295
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+03;0.00110028344234
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;6,63E+05;0.01507279021
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,44E+02;0.00116478226364
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,76E+04;0.00198672778476
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,94E+06;0.0414066324453
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;6,93E+04;0.00344499544627
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,77E+05;0.00914423133129
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,37E+04;0.00323704796714
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,15E+01;0.00267414747189
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,69E+04;0.00178752806745
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;9,87E+04;0.00462258262055
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,40E+03;0.00111275416505
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,21E+04;0.00161394370059
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,29E+04;0.00322135981818
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110038880708
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116432386172
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,39E+03;0.00111212274304
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116443085956
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,70E+04;0.00314955318666
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,24E+05;0.00550337293352
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,46E+04;0.00308394805127
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,14E+04;0.00170397452132
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.0011644092543
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,46E+05;0.00533374326898
